product_id,name,base_price,stock,sales_7,sales_30,day
1,Rice,50,20,30,120,2
2,Sugar,40,15,25,100,4
3,Milk,30,10,40,150,5
4,Oil,120,8,20,90,6
5,Dal,90,25,15,60,1
6,Wheat,45,30,35,140,3
7,Salt,25,50,15,80,2
8,Spice Mix,60,12,10,50,4
9,Tea,80,18,25,110,5
10,Coffee,150,10,20,85,6
11,Bread,35,5,45,180,1
12,Butter,200,8,18,75,2
13,Cheese,250,6,12,55,3
14,Yogurt,40,20,35,145,4
15,Eggs,80,15,50,200,5
16,Chicken,300,10,20,90,6
17,Fish,350,8,15,70,1
18,Meat,400,5,10,45,2
19,Tomato,20,40,50,220,3
20,Onion,15,50,60,250,4
21,Potato,18,45,55,240,5
22,Carrot,22,35,40,170,6
23,Cabbage,25,30,35,150,1
24,Spinach,30,20,30,130,2
25,Broccoli,45,15,20,90,3
26,Cauliflower,40,18,25,110,4
27,Lettuce,35,25,30,140,5
28,Cucumber,20,40,45,190,6
29,Capsicum,50,20,25,110,1
30,Apple,80,25,35,150,2
31,Banana,30,40,50,220,3
32,Orange,50,30,40,180,4
33,Mango,100,15,20,90,5
34,Grapes,120,10,15,70,6
35,Watermelon,60,8,12,55,1
36,Pineapple,80,12,18,80,2
37,Papaya,70,15,20,90,3
38,Guava,40,20,30,140,4
39,Lemon,20,50,45,200,5
40,Coconut,50,20,25,110,6
41,Almonds,500,5,8,35,1
42,Cashews,600,4,6,28,2
43,Walnuts,550,5,7,32,3
44,Peanuts,200,10,15,65,4
45,Raisins,300,8,10,45,5
46,Dates,350,6,8,38,6
47,Honey,400,7,10,45,1
48,Jam,150,12,15,70,2
49,Peanut Butter,250,10,12,55,3
50,Chocolate,100,20,25,115,4
51,Biscuits,80,30,35,160,5
52,Cookies,90,25,30,140,6
53,Cakes,200,8,12,55,1
54,Pastries,180,10,15,70,2
55,Ice Cream,150,15,20,95,3
56,Dessert Mix,120,12,18,85,4
57,Flour,60,40,50,220,5
58,Baking Powder,40,30,35,160,6
59,Yeast,80,15,18,80,1
60,Cornflour,50,25,30,140,2
61,Rice Flour,70,20,25,115,3
62,Oats,100,18,22,100,4
63,Cereals,120,15,20,90,5
64,Granola,150,12,15,70,6
65,Pasta,80,30,35,160,1
66,Noodles,60,35,40,180,2
67,Instant Rice,70,25,30,140,3
68,Canned Beans,50,20,25,115,4
69,Canned Vegetables,45,22,28,130,5
70,Canned Fruits,55,18,22,105,6
71,Bottled Water,25,50,45,200,1
72,Soft Drinks,40,40,50,220,2
73,Juice,80,25,30,140,3
74,Milkshake Mix,100,15,18,85,4
75,Powder Milk,120,12,15,70,5
76,Coffee Powder,150,10,12,55,6
77,Tea Powder,100,15,18,80,1
78,Hot Chocolate,90,12,15,70,2
79,Energy Drink,120,10,12,55,3
80,Sports Drink,110,12,15,70,4
81,Vinegar,60,30,35,160,5
82,Soy Sauce,80,20,25,115,6
83,Worcestershire Sauce,90,15,18,85,1
84,Tomato Sauce,70,25,30,140,2
85,Chili Sauce,75,20,25,115,3
86,Mustard,65,28,32,150,4
87,Mayonnaise,85,18,22,100,5
88,Ketchup,60,30,35,160,6
89,Pickle,80,20,25,115,1
90,Olive Oil,250,10,12,55,2
91,Coconut Oil,200,12,15,70,3
92,Sesame Oil,220,8,10,45,4
93,Peanut Oil,180,15,18,80,5
94,Vegetable Oil,140,20,25,115,6
95,Ghee,300,8,10,45,1
96,Butter Oil,280,10,12,55,2
97,Refined Oil,160,25,30,140,3
98,Cooking Spray,100,30,35,160,4
99,Non-stick Spray,120,25,30,140,5
100,Frying Oil,150,20,25,115,6
101,Salt Iodized,20,50,45,200,1
102,Rock Salt,25,40,50,220,2
103,Black Salt,30,35,40,180,3
104,Black Pepper,150,10,12,55,4
105,White Pepper,140,12,15,70,5
106,Red Chili,120,15,18,80,6
107,Turmeric,100,20,25,115,1
108,Coriander,110,18,22,100,2
109,Cumin,130,15,18,85,3
110,Fenugreek,90,12,15,70,4
111,Fennel,80,18,22,100,5
112,Cloves,250,5,8,35,6
113,Cinnamon,200,8,10,45,1
114,Cardamom,300,6,8,38,2
115,Bay Leaves,120,20,25,115,3
116,Nutmeg,180,10,12,55,4
117,Mace,160,8,10,45,5
118,Asafoetida,200,5,8,35,6
119,Ginger,40,30,35,160,1
120,Garlic,35,35,40,180,2
121,Green Chili,25,40,50,220,3
122,Mint,20,45,50,230,4
123,Coriander Leaves,22,40,45,200,5
124,Curry Leaves,18,50,55,240,6
125,Fenugreek Leaves,24,35,40,180,1
126,Basil,26,30,35,160,2
127,Thyme,28,25,30,140,3
128,Oregano,32,22,28,130,4
129,Dill,30,28,32,150,5
130,Parsley,25,35,40,180,6
131,Rosemary,35,20,25,115,1
132,Sage,38,18,22,100,2
133,Tarragon,42,15,18,85,3
134,Marjoram,36,20,25,115,4
135,Lavender,40,15,18,80,5
136,Chives,28,32,38,170,6
137,Cilantro,22,45,50,220,1
138,Celery,30,30,35,160,2
139,Leek,35,25,30,140,3
140,Scallions,25,40,45,200,4
141,Shallots,45,20,25,115,5
142,Green Onion,20,50,55,240,6
143,White Onion,15,55,60,260,1
144,Red Onion,18,50,55,240,2
145,Purple Onion,20,45,50,220,3
146,Spring Onion,25,40,45,200,4
147,Yellow Onion,16,60,65,280,5
148,Radish,22,35,40,180,6
149,Turnip,25,30,35,160,1
150,Beetroot,35,25,30,140,2
151,Carrot Juice,60,20,25,115,3
152,Beet Juice,70,18,22,100,4
153,Mixed Vegetables,80,15,18,85,5
154,Frozen Peas,65,20,25,115,6
155,Frozen Corn,60,22,28,130,1
156,Frozen Broccoli,75,18,22,100,2
157,Frozen Spinach,70,20,25,115,3
158,Frozen Mixed Veggies,80,18,22,100,4
159,Frozen Potatoes,55,25,30,140,5
160,Frozen Fries,90,20,25,115,6
161,Samosa,100,15,18,85,1
162,Pakora,120,12,15,70,2
163,Spring Roll,110,13,16,75,3
164,Dumplings,130,10,12,55,4
165,Momos,115,14,17,80,5
166,Cutlets,140,12,15,70,6
167,Kebab,180,10,12,55,1
168,Tikka,200,8,10,45,2
169,Tandoori,220,9,11,50,3
170,Biryani Paste,150,15,18,85,4
171,Curry Paste,140,18,22,100,5
172,Masala Paste,160,16,20,95,6
173,Instant Mix,130,20,25,115,1
174,Cake Mix,110,22,28,130,2
175,Brownie Mix,120,20,25,115,3
176,Cookie Mix,100,25,30,140,4
177,Pancake Mix,90,28,35,160,5
178,Waffle Mix,85,30,35,160,6
179,Bread Mix,95,25,30,140,1
180,Muffin Mix,105,22,28,130,2
181,Pizza Base,180,10,12,55,3
182,Pita Bread,70,15,18,85,4
183,Bagels,80,12,15,70,5
184,English Muffins,90,10,12,55,6
185,Croissants,140,8,10,45,1
186,Ciabatta,120,12,15,70,2
187,Focaccia,130,10,12,55,3
188,Baguette,110,14,17,80,4
189,Rye Bread,100,15,18,85,5
190,Sourdough,125,12,15,70,6
191,Gluten Free Bread,150,8,10,45,1
192,Multigrain Bread,110,16,20,95,2
193,Whole Wheat Bread,95,18,22,100,3
194,Sweet Bread,130,12,15,70,4
195,Banana Bread,140,10,12,55,5
196,Pumpkin Bread,135,11,13,60,6
197,Zucchini Bread,128,13,16,75,1
198,Nut Bread,145,9,11,50,2
199,Seed Bread,120,15,18,85,3
200,Herbal Bread,125,14,17,80,4
